trial,k,target_index,expected_sample,expected_ms,expected_m,sh_found_sample,sh_found_ms,sh_norm_amp,sh_detected,sh_time_error_ms,rn_found_sample,rn_found_ms,rn_norm_amp,rn_detected,rn_time_error_ms
7,2,1,128,0.00256,384.0,124,0.00248,1.2427307170603321,True,-8e-05,124,0.00248,1.1571173986867136,True,-8e-05
7,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9862116188098293,True,0.0,164,0.0032800000000000004,1.0994662923083343,True,0.0
8,0,0,20,0.0004,60.0,20,0.0004,0.966247099052102,True,0.0,20,0.0004,1.0100883702052206,True,0.0
8,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.2078088738151276,True,-8e-05,20,0.0004,1.2626104627565256,True,-8e-05
8,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6345433369119455,True,0.00024000000000000003,72,0.00144,1.5786212335947132,True,0.00024000000000000003
8,1,0,72,0.00144,216.0,72,0.00144,0.9807260021471673,True,0.0,72,0.00144,0.9471727401568278,True,0.0
8,1,1,76,0.00152,228.0,72,0.00144,1.225907502683959,True,-8e-05,72,0.00144,1.1839659251960348,True,-8e-05
8,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.5226786745036829,True,0.00024000000000000003,124,0.00248,1.7373546653201941,True,0.00024000000000000003
8,2,0,124,0.00248,372.0,124,0.00248,0.9136072047022097,True,0.0,124,0.00248,1.0424127991921164,True,0.0
8,2,1,128,0.00256,384.0,124,0.00248,1.142009005877762,True,-8e-05,124,0.00248,1.3030159989901453,True,-8e-05
8,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9766729153592787,True,0.0,164,0.0032800000000000004,0.813072819790645,True,0.0
9,0,0,20,0.0004,60.0,20,0.0004,1.0574608380811423,True,0.0,20,0.0004,0.8832078049049845,True,0.0
9,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.3218260476014279,True,-8e-05,20,0.0004,1.1040097561312305,True,-8e-05
9,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.940793422462999,True,0.00024000000000000003,72,0.00144,1.6610094025755382,True,0.00024000000000000003
9,1,0,72,0.00144,216.0,72,0.00144,1.1644760534777994,True,0.0,72,0.00144,0.9966056415453229,True,0.0
9,1,1,76,0.00152,228.0,72,0.00144,1.455595066847249,True,-8e-05,72,0.00144,1.2457570519316536,True,-8e-05
9,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.4530939180020326,True,0.00024000000000000003,124,0.00248,1.6176917313859072,True,0.00024000000000000003
9,2,0,124,0.00248,372.0,124,0.00248,0.8718563508012195,True,0.0,124,0.00248,0.9706150388315443,True,0.0
9,2,1,128,0.00256,384.0,124,0.00248,1.0898204385015242,True,-8e-05,124,0.00248,1.2132687985394304,True,-8e-05
9,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.0708982063786596,True,0.0,164,0.0032800000000000004,1.0557984562916474,True,0.0
10,0,0,20,0.0004,60.0,20,0.0004,0.964489477274752,True,0.0,20,0.0004,1.000751323556793,True,0.0
10,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.20561184659344,True,-8e-05,20,0.0004,1.2509391544459914,True,-8e-05
10,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.5946908462842595,True,0.00024000000000000003,72,0.00144,1.645592420710251,True,0.00024000000000000003
10,1,0,72,0.00144,216.0,72,0.00144,0.9568145077705557,True,0.0,72,0.00144,0.9873554524261505,True,0.0
10,1,1,76,0.00152,228.0,72,0.00144,1.1960181347131944,True,-8e-05,72,0.00144,1.234194315532688,True,-8e-05
10,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.7418357455386713,True,0.00024000000000000003,124,0.00248,1.6474122250560825,True,0.00024000000000000003
10,2,0,124,0.00248,372.0,124,0.00248,1.0451014473232028,True,0.0,124,0.00248,0.9884473350336495,True,0.0
10,2,1,128,0.00256,384.0,124,0.00248,1.3063768091540033,True,-8e-05,124,0.00248,1.2355591687920617,True,-8e-05
10,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,0.9025583586711365,True,0.0,164,0.0032800000000000004,1.020551214399635,True,0.0
11,0,0,20,0.0004,60.0,20,0.0004,0.9440328103577729,True,0.0,20,0.0004,0.9563329969867268,True,0.0
11,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.180041012947216,True,-8e-05,20,0.0004,1.1954162462334084,True,-8e-05
11,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6171916678398106,True,0.00024000000000000003,72,0.00144,1.5809104169923347,True,0.00024000000000000003
11,1,0,72,0.00144,216.0,72,0.00144,0.9703150007038863,True,0.0,72,0.00144,0.9485462501954007,True,0.0
11,1,1,76,0.00152,228.0,72,0.00144,1.2128937508798578,True,-8e-05,72,0.00144,1.185682812744251,True,-8e-05
11,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.5778376828250478,True,0.00024000000000000003,124,0.00248,1.7557508304950886,True,0.00024000000000000003
11,2,0,124,0.00248,372.0,124,0.00248,0.9467026096950286,True,0.0,124,0.00248,1.0534504982970532,True,0.0
11,2,1,128,0.00256,384.0,124,0.00248,1.1833782621187856,True,-8e-05,124,0.00248,1.3168131228713165,True,-8e-05
11,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.0009568402461775,True,0.0,164,0.0032800000000000004,0.9900895342958227,True,0.0
12,0,0,20,0.0004,60.0,20,0.0004,1.0123471394319756,True,0.0,20,0.0004,0.9283305664739848,True,0.0
12,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.2654339242899695,True,-8e-05,20,0.0004,1.160413208092481,True,-8e-05
12,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.717866930417412,True,0.00024000000000000003,72,0.00144,1.7368658078010772,True,0.00024000000000000003
12,1,0,72,0.00144,216.0,72,0.00144,1.030720158250447,True,0.0,72,0.00144,1.0421194846806463,True,0.0
12,1,1,76,0.00152,228.0,72,0.00144,1.2884001978130588,True,-8e-05,72,0.00144,1.3026493558508079,True,-8e-05
12,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.8637974971163895,True,0.00024000000000000003,124,0.00248,1.6114041495532858,True,0.00024000000000000003
12,2,0,124,0.00248,372.0,124,0.00248,1.1182784982698337,True,0.0,124,0.00248,0.9668424897319714,True,0.0
12,2,1,128,0.00256,384.0,124,0.00248,1.397848122837292,True,-8e-05,124,0.00248,1.2085531121649642,True,-8e-05
12,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.1037524332690654,True,0.0,164,0.0032800000000000004,1.1150156912357767,True,0.0
13,0,0,20,0.0004,60.0,20,0.0004,1.080171130884845,True,0.0,20,0.0004,0.9061727217512515,True,0.0
13,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.350213913606056,True,-8e-05,20,0.0004,1.1327159021890643,True,-8e-05
