trial,target_index,expected_sample,expected_ms,expected_m,sh_detected,sh_norm_amp,sh_false_alarms,rn_detected,rn_norm_amp,rn_false_alarms
35,2,60,0.0012,180.0,True,1.7318335388977817,5,True,1.816372851073371,7
36,0,20,0.0004,60.0,True,0.8013957039390038,5,True,0.9963310888526445,7
36,1,24,0.00048,72.0,True,1.0017446299237547,5,True,1.2454138610658056,7
36,2,60,0.0012,180.0,True,1.54428425171204,5,True,1.6047323706107002,7
37,0,20,0.0004,60.0,True,0.8393807111684515,6,True,1.0742854763072005,6
37,1,24,0.00048,72.0,True,1.0492258889605643,6,True,1.3428568453840006,6
37,2,60,0.0012,180.0,True,1.8797118409607754,6,True,1.6399976515753656,6
38,0,20,0.0004,60.0,True,0.9452686289647114,4,True,0.9853146084878647,5
38,1,24,0.00048,72.0,True,1.1815857862058892,4,True,1.2316432606098309,5
38,2,60,0.0012,180.0,True,1.432605403798529,4,True,1.7158752995151754,5
39,0,20,0.0004,60.0,True,0.9610554887289803,5,True,0.9545606314598125,9
39,1,24,0.00048,72.0,True,1.2013193609112254,5,True,1.1932007893247656,9
39,2,60,0.0012,180.0,True,2.116705545924683,5,True,1.5851028166677392,9
40,0,20,0.0004,60.0,True,1.0332255430008357,6,True,1.0257292374933125,6
40,1,24,0.00048,72.0,True,1.2915319287510445,6,True,1.2821615468666405,6
40,2,60,0.0012,180.0,True,1.673405294916655,6,True,1.608076493230067,6
41,0,20,0.0004,60.0,True,0.9556800963798349,5,True,0.8526317368938423,5
41,1,24,0.00048,72.0,True,1.1946001204747936,5,True,1.0657896711173027,5
41,2,60,0.0012,180.0,True,1.54938436214919,5,True,1.657638140031275,5
42,0,20,0.0004,60.0,True,1.1123321493735392,5,True,0.9728259391952234,7
42,1,24,0.00048,72.0,True,1.3904151867169239,5,True,1.2160324239940292,7
42,2,60,0.0012,180.0,True,1.4889394821702067,5,True,2.080481968168412,7
43,0,20,0.0004,60.0,True,1.1762140046904561,9,True,0.9897618322892181,6
43,1,24,0.00048,72.0,True,1.47026750586307,9,True,1.2372022903615225,6
43,2,60,0.0012,180.0,True,1.9250249919170914,9,True,1.3574402950842295,6
44,0,20,0.0004,60.0,True,1.1675610116094188,6,True,1.037707754273909,7
44,1,24,0.00048,72.0,True,1.4594512645117734,6,True,1.2971346928423861,7
44,2,60,0.0012,180.0,True,1.9215930085199733,6,True,2.004883181308575,7
45,0,20,0.0004,60.0,True,1.2857416990911594,7,True,0.8761262248211846,4
45,1,24,0.00048,72.0,True,1.6071771238639492,7,True,1.0951577810264808,4
45,2,60,0.0012,180.0,True,1.606400966732928,7,True,1.5968740055566017,4
46,0,20,0.0004,60.0,True,0.9726108418771755,6,True,0.8666170818346184,5
46,1,24,0.00048,72.0,True,1.2157635523464694,6,True,1.0832713522932729,5
46,2,60,0.0012,180.0,True,1.6812072550546324,6,True,1.3983624712025526,5
47,0,20,0.0004,60.0,True,0.8456161069223176,5,True,1.0400101105995916,4
47,1,24,0.00048,72.0,True,1.0570201336528968,5,True,1.3000126382494894,4
47,2,60,0.0012,180.0,True,1.2979230915432047,5,True,1.6671517539948675,4
48,0,20,0.0004,60.0,True,1.0603856650685701,7,True,1.1173705680513981,4
48,1,24,0.00048,72.0,True,1.3254820813357127,7,True,1.3967132100642476,4
48,2,60,0.0012,180.0,True,1.4366111154534915,7,True,1.7061840278826377,4
49,0,20,0.0004,60.0,True,1.0445680942707278,5,True,1.0332490119736022,6
49,1,24,0.00048,72.0,True,1.3057101178384096,5,True,1.2915612649670027,6
49,2,60,0.0012,180.0,True,1.5198595666351433,5,True,1.6598302149553226,6
